[15:40:49.472] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171207_10962533C02.002], info_cd=[C02], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[15:40:49.926] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[317], ApprNo=[57768771]
[15:40:49.926] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[318], ApprNo=[76591816]
[15:40:49.926] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[319], ApprNo=[71362941]
[15:40:49.941] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[320], ApprNo=[73006452]
[15:40:49.941] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[321], ApprNo=[76881914]
[15:40:49.941] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[322], ApprNo=[76206307]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[323], ApprNo=[60736476]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[324], ApprNo=[54383531]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[325], ApprNo=[56066688]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[326], ApprNo=[67160897]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[327], ApprNo=[57563411]
[15:40:49.972] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[328], ApprNo=[56150675]
[15:40:49.972] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[329], ApprNo=[73066643]
[15:40:49.972] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[330], ApprNo=[75655332]
[15:40:49.972] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[331], ApprNo=[74453777]
[15:40:49.972] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[332], ApprNo=[77048447]
[15:40:49.988] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[333], ApprNo=[77222722]
[15:40:49.988] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[334], ApprNo=[79378682]
[15:40:49.988] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[335], ApprNo=[73403490]
[15:40:49.988] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[336], ApprNo=[72099961]
[15:40:49.988] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[337], ApprNo=[71519521]
[15:40:49.988] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[338], ApprNo=[79650647]
[15:40:50.004] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[339], ApprNo=[57166711]
[15:40:50.004] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[340], ApprNo=[71887765]
[15:40:50.004] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[341], ApprNo=[71349356]
[15:40:50.004] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[342], ApprNo=[71382946]
[15:40:50.004] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[343], ApprNo=[71458417]
[15:40:50.004] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[344], ApprNo=[71060161]
[15:40:50.019] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[345], ApprNo=[76465960]
[15:40:50.019] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[346], ApprNo=[71153366]
[15:40:50.019] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[347], ApprNo=[75364965]
[15:40:50.019] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[348], ApprNo=[72038999]
[15:40:50.019] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[349], ApprNo=[59137229]
[15:40:50.019] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[350], ApprNo=[75829756]
[15:40:50.035] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[351], ApprNo=[77252762]
[15:40:50.035] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[352], ApprNo=[79619109]
[15:40:50.035] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[353], ApprNo=[79619109]
[15:40:50.035] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[832], ApprNo=[03341945]
[15:40:50.051] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[833], ApprNo=[04874820]
[15:40:50.051] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[834], ApprNo=[06820634]
[15:40:50.051] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[835], ApprNo=[07406637]
[15:40:50.066] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[836], ApprNo=[05952139]
[15:40:50.066] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[837], ApprNo=[02426736]
[15:40:50.066] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[838], ApprNo=[00676817]
[15:40:50.066] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[839], ApprNo=[01678148]
[15:40:50.066] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[840], ApprNo=[09817745]
[15:40:50.082] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[841], ApprNo=[01853184]
[15:40:50.082] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[842], ApprNo=[01626269]
[15:40:50.082] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[843], ApprNo=[02137461]
[15:40:50.082] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[844], ApprNo=[02734462]
[15:40:50.082] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[845], ApprNo=[06664872]
[15:40:50.082] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[846], ApprNo=[06070870]
[15:40:50.097] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[847], ApprNo=[03099452]
[15:40:50.097] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[848], ApprNo=[01225152]
[15:40:50.097] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[849], ApprNo=[09436259]
[15:40:50.097] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[850], ApprNo=[03184878]
[15:40:50.097] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[851], ApprNo=[04526256]
[15:40:50.097] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[852], ApprNo=[09625652]
[15:40:50.113] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[853], ApprNo=[09635658]
[15:40:50.113] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[854], ApprNo=[06699780]
[15:40:50.113] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[855], ApprNo=[04180110]
[15:40:50.113] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[856], ApprNo=[06684932]
[15:40:50.113] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[857], ApprNo=[02839630]
[15:40:50.113] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[858], ApprNo=[00647271]
[15:40:50.129] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[859], ApprNo=[08516004]
[15:40:50.129] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[860], ApprNo=[08484272]
[15:40:50.129] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[861], ApprNo=[01820557]
[15:40:50.129] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[862], ApprNo=[05187518]
[15:40:50.129] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[863], ApprNo=[06064016]
[15:40:50.129] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[864], ApprNo=[01576316]
[15:40:50.144] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[865], ApprNo=[00285517]
[15:40:50.144] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[866], ApprNo=[07110245]
[15:40:50.144] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[867], ApprNo=[01430646]
[15:40:50.160] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[868], ApprNo=[09247776]
[15:40:50.160] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[869], ApprNo=[04825260]
[15:40:50.160] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[870], ApprNo=[07411645]
[15:40:50.160] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[871], ApprNo=[07444372]
[15:40:50.160] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[872], ApprNo=[03667369]
[15:40:50.160] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[873], ApprNo=[06132387]
[15:40:50.176] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[874], ApprNo=[05179875]
[15:40:50.176] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[875], ApprNo=[00486710]
[15:40:50.176] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[876], ApprNo=[02014905]
[15:40:50.176] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[877], ApprNo=[00525807]
[15:40:50.176] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[878], ApprNo=[01426207]
[15:40:50.191] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[879], ApprNo=[00962702]
[15:40:50.191] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[880], ApprNo=[09968656]
[15:40:50.191] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[881], ApprNo=[09826143]
[15:40:50.191] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[882], ApprNo=[09366752]
[15:40:50.207] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[883], ApprNo=[00863366]
[15:40:50.207] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[884], ApprNo=[00785455]
[15:44:01.319] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171207_10962533C02.003], info_cd=[C02], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
